"","Cov.35","Cov.40","Cov.45","Cov.50","Cov.55","Cov.60","Cov.65","Cov.70","Cov.75","Cov.80","Cov.85","Cov.90","Cov.95","Cov.100"
"M.15.25.F.15.25",6,6,7,8,9,10,10,11,12,13,13,14,15,16
"M.25.40.F.15.25",0,0,0,0,0,1,1,1,1,1,1,1,1,1
"M.40.50.F.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M.15.25.F.25.40",18,20,23,25,28,30,33,36,38,41,43,45,48,51
"M.25.40.F.25.40",9,10,12,13,14,15,17,18,19,21,22,23,25,26
"M.40.50.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M.15.25.F.40.50",6,6,7,8,9,10,11,11,12,13,14,15,15,16
"M.25.40.F.40.50",14,16,18,20,22,25,26,28,31,33,35,37,39,41
"M.40.50.F.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
