"","cov.35","cov.40","cov.45","cov.50","cov.55","cov.60","cov.65","cov.70","cov.75","cov.80","cov.85","cov.90","cov.95","pop.lev"
"AAD.male","10.6994768591571 [ 9.75613637238352 - 11.8265715159931 ]","10.6638500333063 [ 9.70749729862037 - 11.6244320371571 ]","10.767721011946 [ 9.81715725376597 - 11.7077136354535 ]","10.705736199067 [ 9.81237248534766 - 11.5291927924163 ]","10.6978761954243 [ 9.90952551793705 - 11.5020319189656 ]","10.7038991504162 [ 9.91580225514591 - 11.4830461177547 ]","10.6779443436475 [ 9.98248739484722 - 11.3890894045893 ]","10.7273933479368 [ 9.9401532842989 - 11.4294875207784 ]","10.7334825456708 [ 10.0195335293514 - 11.3939228306469 ]","10.6537475957697 [ 10.0253502934235 - 11.3676413737316 ]","10.703592413894 [ 10.0402467468339 - 11.3874397825262 ]","10.6955232592795 [ 10.0713345044712 - 11.3301248831711 ]","10.6881020011696 [ 10.0917079938794 - 11.3021395152243 ]","11.7538242456767 [ 11.6086600874827 - 11.9047237188588 ]"
"SDAD.male","6.11319903583867 [ 5.68996523626397 - 6.58710918743202 ]","6.14486533146527 [ 5.76296961178484 - 6.58784879645578 ]","6.1729848911078 [ 5.77597413175558 - 6.59765648520744 ]","6.19459011437562 [ 5.80583064823604 - 6.60270569956159 ]","6.23427736257266 [ 5.86822416656559 - 6.57805223312635 ]","6.22185880636757 [ 5.87552750945328 - 6.59065183688338 ]","6.23512893022188 [ 5.89248836269917 - 6.55886409676129 ]","6.23954162779479 [ 5.93611323942965 - 6.54571612009957 ]","6.24692119498668 [ 5.93881212554082 - 6.5714737448632 ]","6.26695524464697 [ 5.96673302191058 - 6.54556921374552 ]","6.26543715766466 [ 5.99143786801974 - 6.53081694851867 ]","6.26836005509216 [ 5.98874675385705 - 6.54463902209716 ]","6.28015822439513 [ 6.01635103676794 - 6.53882872953226 ]","6.32546944133745 [ 6.23438843510106 - 6.40849264856729 ]"
"slope.male","0.213407889531079 [ 0.167050718589295 - 0.27164044997783 ]","0.217174386237421 [ 0.171014205893177 - 0.269748345898303 ]","0.221737362199576 [ 0.174757517663124 - 0.271020654128278 ]","0.223069763412349 [ 0.177170035212908 - 0.266353436311086 ]","0.22201525227883 [ 0.176859611847313 - 0.264590475712645 ]","0.221090802872898 [ 0.180748175746542 - 0.258030973891701 ]","0.219694785667013 [ 0.182705782550461 - 0.256897195230234 ]","0.219024753266601 [ 0.182193005859796 - 0.257862261330238 ]","0.219922552594088 [ 0.18361804348027 - 0.255833208722507 ]","0.217385628576742 [ 0.185716334082333 - 0.252834553445795 ]","0.221000947671687 [ 0.183036877248488 - 0.253837317998736 ]","0.219189111308817 [ 0.185762289898514 - 0.251758030439713 ]","0.220442802336984 [ 0.185757159023601 - 0.251762423662573 ]","0.284201177435502 [ 0.275419661276001 - 0.293196089031057 ]"
"WSD.male","1.64915034710871 [ 1.52855761109085 - 1.77273421316464 ]","1.66231703836634 [ 1.54581224604234 - 1.78101916138427 ]","1.67296090435125 [ 1.5644699383198 - 1.79144269284984 ]","1.67510574966227 [ 1.56401512602781 - 1.78134034520382 ]","1.67449308526369 [ 1.58075387561548 - 1.78055670220718 ]","1.67598492205271 [ 1.5838877558283 - 1.77005704455053 ]","1.6785788075246 [ 1.58790974198658 - 1.77163913872015 ]","1.67788556823145 [ 1.59657538812951 - 1.76462221131123 ]","1.68326100543632 [ 1.59858638851107 - 1.77045530699793 ]","1.68570704325009 [ 1.5979017153316 - 1.7771970938787 ]","1.68267062861317 [ 1.60380804164639 - 1.76264692184945 ]","1.68631620215337 [ 1.60582178681438 - 1.76385533189966 ]","1.68808610067539 [ 1.60998128539612 - 1.7678237336892 ]","1.76510527287371 [ 1.73516482745204 - 1.79587318690116 ]"
"BSD.male","1.50441783355139 [ 1.17597988124391 - 1.84272197533218 ]","1.49169750466011 [ 1.20485359539146 - 1.79854069579493 ]","1.54136209407769 [ 1.23968426401179 - 1.80245733204355 ]","1.47322086860416 [ 1.24500698590851 - 1.7474960759368 ]","1.50836238934529 [ 1.24447840992114 - 1.75764897829477 ]","1.50536014344992 [ 1.28986991073437 - 1.72725010233658 ]","1.49604547299395 [ 1.27552283995128 - 1.7327870597912 ]","1.49627578764268 [ 1.29232397828964 - 1.73863892925454 ]","1.50539663036067 [ 1.29426162521502 - 1.73580779783883 ]","1.50601189902896 [ 1.30208428894046 - 1.71532421736185 ]","1.48845566455782 [ 1.31537183576339 - 1.71162127404217 ]","1.49319700949225 [ 1.31006385983027 - 1.69953550358155 ]","1.49558717645545 [ 1.32769105837149 - 1.71093084946322 ]","1.94311916399823 [ 1.89886299420413 - 1.99225208227322 ]"
"intercept.male","-0.819292697767358 [ -1.68110348284501 - -0.204696692495342 ]","-0.902417524858447 [ -1.54555850571678 - -0.299743208461915 ]","-0.952042838751471 [ -1.61048778555331 - -0.361788442531254 ]","-0.917341062814118 [ -1.55733398650492 - -0.398194699309583 ]","-0.921683186638782 [ -1.51595848903058 - -0.413950189212787 ]","-0.90982469198913 [ -1.39611530374373 - -0.418258757837263 ]","-0.913835799858974 [ -1.4156219397589 - -0.455248976453952 ]","-0.882498273586384 [ -1.40679245412046 - -0.449928515489906 ]","-0.901787176702253 [ -1.40969066375026 - -0.467227827640046 ]","-0.895832165436516 [ -1.33950770700697 - -0.471214767339969 ]","-0.921193852001439 [ -1.37687224119883 - -0.466455004370391 ]","-0.911569696008199 [ -1.38232615755011 - -0.500073513260842 ]","-0.931397586256137 [ -1.34041269320537 - -0.502309620142545 ]","-1.55060439381737 [ -1.6865491061126 - -1.42462476710526 ]"
