"","cov.35","cov.40","cov.45","cov.50","cov.55","cov.60","cov.65","cov.70","cov.75","cov.80","cov.85","cov.90","cov.95","pop.lev"
"AAD.male","8.64400720837711 [ 7.71368924864461 - 9.5794219606571 ]","8.55916982725107 [ 7.73547359596854 - 9.54459635153541 ]","8.53935256967761 [ 7.80529534939186 - 9.43718270913081 ]","8.62701849842797 [ 7.87802400155521 - 9.46441595426636 ]","8.62021021641904 [ 7.80369108631644 - 9.4219674375074 ]","8.6096005148462 [ 7.88000069788774 - 9.42460088795171 ]","8.6392093249196 [ 7.98192111402835 - 9.5118253593952 ]","8.7105582905776 [ 8.0034579636431 - 9.40863630809239 ]","8.81856171793 [ 8.12811344264382 - 9.55243943592262 ]","8.7726629980715 [ 8.13962524336855 - 9.54474753091585 ]","8.8665600306985 [ 8.16274643348281 - 9.64645480881387 ]","8.97343420429685 [ 8.25924170290291 - 9.76705464074706 ]","9.06462637501881 [ 8.37373665269816 - 9.83015124278823 ]","11.75 [ 11.61 - 11.9 ]"
"SDAD.male","6.01294330150366 [ 5.49570070071156 - 6.50034536881154 ]","6.09458840206614 [ 5.61769313298573 - 6.57437982849997 ]","6.0635290948123 [ 5.65117252746169 - 6.52710795561372 ]","6.12708362892221 [ 5.69220779656443 - 6.52953393354304 ]","6.12282901636262 [ 5.69979074904987 - 6.53610253751952 ]","6.11399488509362 [ 5.72443539266265 - 6.52468784573167 ]","6.13346506868338 [ 5.77018448432608 - 6.52303920644278 ]","6.1379144450123 [ 5.75982602895762 - 6.48730270056603 ]","6.16615198059274 [ 5.81695191742021 - 6.53382917797675 ]","6.12096483582714 [ 5.76232957136336 - 6.48134160594931 ]","6.13978228890712 [ 5.78849124921449 - 6.46401624786248 ]","6.14867650733124 [ 5.80495049410552 - 6.48296363096661 ]","6.13008872131318 [ 5.84472526855946 - 6.46937387448322 ]","6.33 [ 6.23 - 6.41 ]"
"slope.male","0.145159224322497 [ 0.0940167593543632 - 0.196174450241919 ]","0.138133240053597 [ 0.0912917918977607 - 0.189177320459712 ]","0.14411279688177 [ 0.103068618141127 - 0.192406173834104 ]","0.146443095942702 [ 0.103454810427049 - 0.189118385421247 ]","0.143871210822242 [ 0.103196071789337 - 0.18892405703999 ]","0.147325146543269 [ 0.109094940529609 - 0.189855470053767 ]","0.149299215616975 [ 0.112392159452455 - 0.187797963482362 ]","0.148814899123603 [ 0.113240965026335 - 0.188870671433659 ]","0.153300769638687 [ 0.115945401437105 - 0.18899297777 ]","0.154890805239995 [ 0.119625281194767 - 0.195929546029599 ]","0.157634983762281 [ 0.120513927848889 - 0.196324770748371 ]","0.161306829065329 [ 0.124590841464001 - 0.197172165081433 ]","0.162684704321534 [ 0.130859537688415 - 0.199823068771078 ]","0.28 [ 0.28 - 0.29 ]"
"WSD.male","1.58132879114545 [ 1.43844891163281 - 1.71565354262956 ]","1.57061037779231 [ 1.41191194723802 - 1.730304889734 ]","1.58950068585205 [ 1.44858685998487 - 1.72291697767999 ]","1.58518820742445 [ 1.45865286784436 - 1.72735570901505 ]","1.58536972675572 [ 1.46471011682533 - 1.72877224449942 ]","1.59933571432983 [ 1.46876231728056 - 1.72559437836473 ]","1.59231101640489 [ 1.47415712753087 - 1.721273996092 ]","1.60192111511539 [ 1.49072823314722 - 1.71726140811283 ]","1.60518545910223 [ 1.49724846114927 - 1.72346974625589 ]","1.62014577144656 [ 1.50811609141802 - 1.72655971062526 ]","1.60882122415669 [ 1.49455694947748 - 1.7151745131917 ]","1.61640332545894 [ 1.51128434135403 - 1.72093562967026 ]","1.62595951303826 [ 1.52838591985447 - 1.7228183395422 ]","1.77 [ 1.74 - 1.8 ]"
"BSD.male","1.07381672501328 [ 0.728116907248667 - 1.49343570797055 ]","1.15731665548553 [ 0.804767754843024 - 1.53905619787209 ]","1.12191958229221 [ 0.796138471349383 - 1.48286905388403 ]","1.12735698305457 [ 0.82747046925038 - 1.47006183465139 ]","1.16845736225988 [ 0.843694947204934 - 1.47167636433469 ]","1.16415707696884 [ 0.89721395911839 - 1.48454082097017 ]","1.15788082695257 [ 0.890415369273254 - 1.48667288614065 ]","1.19928064879849 [ 0.914495704872724 - 1.47236481208073 ]","1.18739534363293 [ 0.930477290827633 - 1.48037739342409 ]","1.2103663708472 [ 0.962275315558992 - 1.49549892468045 ]","1.22862304286183 [ 0.97933071079556 - 1.49229248126787 ]","1.2262145074834 [ 0.990748181945005 - 1.48055890914705 ]","1.22790600377937 [ 0.997921742544697 - 1.51577938465377 ]","1.94 [ 1.9 - 1.99 ]"
"intercept.male","0.00968620490310902 [ -0.482743014149052 - 0.455501379808586 ]","0.0643291664090189 [ -0.458722848950648 - 0.511920132258129 ]","0.018881755702644 [ -0.428967978256551 - 0.397299192335831 ]","0.0174952678721869 [ -0.38351434288644 - 0.392639133072691 ]","0.0387621989238029 [ -0.418507005962281 - 0.436095451234891 ]","-0.00444552336364002 [ -0.418027169820718 - 0.381321786356033 ]","-0.0166941277517249 [ -0.402414018300854 - 0.352181226378604 ]","-0.0298112029921977 [ -0.409048643654913 - 0.35554364705116 ]","-0.0434348380922724 [ -0.434622959839679 - 0.318742437828641 ]","-0.0766165736499982 [ -0.485237415415708 - 0.285715050227314 ]","-0.0910331331785397 [ -0.510698093039755 - 0.271047419660514 ]","-0.127370718942532 [ -0.537275952074091 - 0.225780871212141 ]","-0.16047867161695 [ -0.570666731629933 - 0.169700475660008 ]","-1.55 [ -1.69 - -1.42 ]"
