"","Cov.35","Cov.40","Cov.45","Cov.50","Cov.55","Cov.60","Cov.65","Cov.70","Cov.75","Cov.80","Cov.85","Cov.90","Cov.95","Cov.100"
"M.15.25.F.15.25","7 [ 6 - 8 ]","8 [ 6 - 9 ]","8 [ 7 - 10 ]","9 [ 8 - 11 ]","10 [ 8 - 12 ]","11 [ 9 - 13 ]","12 [ 10 - 14 ]","13 [ 10 - 15 ]","13 [ 11 - 16 ]","14 [ 11 - 16 ]","14 [ 11 - 17 ]","14 [ 12 - 18 ]","15 [ 12 - 18 ]","16 [ 13 - 19 ]"
"M.25.40.F.15.25","0 [ 0 - 1 ]","0 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 1 ]","1 [ 0 - 2 ]","1 [ 0 - 2 ]","1 [ 0 - 2 ]","1 [ 0 - 2 ]","1 [ 0 - 2 ]","1 [ 0 - 2 ]","1 [ 0 - 2 ]","1 [ 0 - 2 ]","1 [ 0 - 2 ]"
"M.40.50.F.15.25","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"M.15.25.F.25.40","13 [ 11 - 15 ]","15 [ 13 - 17 ]","17 [ 15 - 19 ]","19 [ 16 - 21 ]","20 [ 18 - 23 ]","22 [ 20 - 25 ]","24 [ 21 - 27 ]","26 [ 23 - 29 ]","28 [ 24 - 31 ]","30 [ 26 - 33 ]","32 [ 28 - 35 ]","33 [ 30 - 37 ]","35 [ 31 - 39 ]","51 [ 45 - 57 ]"
"M.25.40.F.25.40","9 [ 7 - 10 ]","10 [ 8 - 12 ]","11 [ 9 - 13 ]","12 [ 10 - 14 ]","13 [ 11 - 16 ]","14 [ 12 - 17 ]","15 [ 13 - 18 ]","16 [ 13 - 19 ]","16 [ 14 - 20 ]","17 [ 14 - 20 ]","17 [ 15 - 21 ]","18 [ 15 - 21 ]","18 [ 15 - 22 ]","26 [ 22 - 30 ]"
"M.40.50.F.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]"
"M.15.25.F.40.50","3 [ 2 - 5 ]","4 [ 3 - 5 ]","4 [ 3 - 6 ]","5 [ 3 - 6 ]","5 [ 4 - 7 ]","6 [ 4 - 7 ]","6 [ 5 - 8 ]","7 [ 5 - 9 ]","7 [ 6 - 9 ]","8 [ 6 - 10 ]","8 [ 6 - 10 ]","9 [ 7 - 11 ]","9 [ 7 - 11 ]","16 [ 13 - 20 ]"
"M.25.40.F.40.50","12 [ 11 - 14 ]","14 [ 12 - 16 ]","16 [ 14 - 18 ]","17 [ 15 - 20 ]","19 [ 17 - 22 ]","21 [ 18 - 23 ]","22 [ 19 - 25 ]","23 [ 20 - 26 ]","23 [ 20 - 27 ]","24 [ 21 - 27 ]","24 [ 21 - 28 ]","25 [ 22 - 28 ]","25 [ 22 - 28 ]","41 [ 36 - 45 ]"
"M.40.50.F.40.50","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 1 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]"
