"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"M.15.25.F.15.25",0,0,0,0,1,1,1,2,2,2,2,2,2,16
"M.25.40.F.15.25",0,0,0,0,1,1,1,2,2,2,2,3,3,1
"M.40.50.F.15.25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M.15.25.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,51
"M.25.40.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,26
"M.40.50.F.25.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M.15.25.F.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,16
"M.25.40.F.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,41
"M.40.50.F.40.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0
