"","cl.cov.35","cl.cov.40","cl.cov.45","cl.cov.50","cl.cov.55","cl.cov.60","cl.cov.65","cl.cov.70","cl.cov.75","cl.cov.80","cl.cov.85","cl.cov.90","cl.cov.95","true.cov.100"
"paste(M.15.25.F.15.25","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 2 ]","0 [ 0 - 2 ]","1 [ 0 - 2 ]","1 [ 0 - 3 ]","1 [ 0 - 3 ]","2 [ 0 - 3 ]","2 [ 0 - 4 ]","2 [ 0 - 4 ]","2 [ 0 - 4 ]","2 [ 1 - 4 ]","2 [ 1 - 5 ]","16 [ 13 - 19 ]"
"paste(M.25.40.F.15.25","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 2 ]","0 [ 0 - 2 ]","1 [ 0 - 2 ]","1 [ 0 - 2 ]","1 [ 0 - 3 ]","2 [ 0 - 3 ]","2 [ 0 - 3 ]","2 [ 0.5 - 4 ]","2 [ 1 - 4 ]","3 [ 1 - 4 ]","3 [ 2 - 5 ]","1 [ 0 - 2 ]"
"paste(M.40.50.F.15.25","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 0 ]"
"paste(M.15.25.F.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","51 [ 45 - 57 ]"
"paste(M.25.40.F.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","26 [ 22 - 30 ]"
"paste(M.40.50.F.25.40","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 1 ]","0 [ 0 - 1 ]","0 [ 0 - 0 ]"
"paste(M.15.25.F.40.50","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","16 [ 13 - 20 ]"
"paste(M.25.40.F.40.50","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","41 [ 36 - 45 ]"
"paste(M.40.50.F.40.50","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 0 ]","0 [ 0 - 1 ]"
